,period,company,tickers,indicator,unit,amount
155,2016 Q1,1 800 FLOWERS COM INC,FLWS,Final Revenue,US Dollar,"234,207,000"
161,2016 Q2,1 800 FLOWERS COM INC,FLWS,Final Revenue,US Dollar,"234,395,000"
168,2016 Q3,1 800 FLOWERS COM INC,FLWS,Final Revenue,US Dollar,"165,829,000"
176,2016 Q4,1 800 FLOWERS COM INC,FLWS,Final Revenue,US Dollar,"554,553,000"
256,2014 Q1,"2U, Inc.",TWOU,Final Revenue,US Dollar,"26,332,000"
263,2014 Q2,"2U, Inc.",TWOU,Final Revenue,US Dollar,"24,744,000"
270,2014 Q3,"2U, Inc.",TWOU,Final Revenue,US Dollar,"28,407,000"
277,2014 Q4,"2U, Inc.",TWOU,Final Revenue,US Dollar,"30,756,000"
285,2015 Q1,"2U, Inc.",TWOU,Final Revenue,US Dollar,"34,612,000"
292,2015 Q2,"2U, Inc.",TWOU,Final Revenue,US Dollar,"35,238,000"
299,2015 Q3,"2U, Inc.",TWOU,Final Revenue,US Dollar,"37,092,000"
306,2015 Q4,"2U, Inc.",TWOU,Final Revenue,US Dollar,"43,252,000"
314,2016 Q1,"2U, Inc.",TWOU,Final Revenue,US Dollar,"47,444,000"
321,2016 Q2,"2U, Inc.",TWOU,Final Revenue,US Dollar,"49,110,000"
328,2016 Q3,"2U, Inc.",TWOU,Final Revenue,US Dollar,"51,960,000"
335,2016 Q4,"2U, Inc.",TWOU,Final Revenue,US Dollar,"57,350,000"
342,2014 Q1,"3D MAKERJET, INC.","DMJT, MARK",Final Revenue,US Dollar,0
350,2014 Q2,"3D MAKERJET, INC.","DMJT, MARK",Final Revenue,US Dollar,0
356,2014 Q3,"3D MAKERJET, INC.","DMJT, MARK",Final Revenue,US Dollar,"5,995"
365,2014 Q4,"3D MAKERJET, INC.","DMJT, MARK",Final Revenue,US Dollar,"25,868"
374,2015 Q1,"3D MAKERJET, INC.","DMJT, MARK",Final Revenue,US Dollar,"9,325"
383,2015 Q2,"3D MAKERJET, INC.","DMJT, MARK",Final Revenue,US Dollar,"-21,097"
393,2015 Q3,"3D MAKERJET, INC.","DMJT, MARK",Final Revenue,US Dollar,"12,000"
402,2015 Q4,"3D MAKERJET, INC.","DMJT, MARK",Final Revenue,US Dollar,0
412,2014 Q2,8point3 Energy Partners LP,CAFD,Final Revenue,US Dollar,"2,103,000"
415,2014 Q3,8point3 Energy Partners LP,CAFD,Final Revenue,US Dollar,"2,331,000"
424,2015 Q1,8point3 Energy Partners LP,CAFD,Final Revenue,US Dollar,"2,134,000"
430,2015 Q2,8point3 Energy Partners LP,CAFD,Final Revenue,US Dollar,"2,179,000"
438,2015 Q3,8point3 Energy Partners LP,CAFD,Final Revenue,US Dollar,"3,076,000"
446,2015 Q4,8point3 Energy Partners LP,CAFD,Final Revenue,US Dollar,"4,031,000"
454,2016 Q1,8point3 Energy Partners LP,CAFD,Final Revenue,US Dollar,"7,102,000"
462,2016 Q2,8point3 Energy Partners LP,CAFD,Final Revenue,US Dollar,"13,517,000"
470,2016 Q3,8point3 Energy Partners LP,CAFD,Final Revenue,US Dollar,"26,116,000"
478,2016 Q4,8point3 Energy Partners LP,CAFD,Final Revenue,US Dollar,"14,463,000"
487,2014 Q1,AAON INC,AAON,Final Revenue,US Dollar,"76,367,000"
495,2014 Q2,AAON INC,AAON,Final Revenue,US Dollar,"92,310,000"
503,2014 Q3,AAON INC,AAON,Final Revenue,US Dollar,"102,917,000"
511,2014 Q4,AAON INC,AAON,Final Revenue,US Dollar,"84,728,000"
520,2015 Q1,AAON INC,AAON,Final Revenue,US Dollar,"76,768,000"
528,2015 Q2,AAON INC,AAON,Final Revenue,US Dollar,"90,275,000"
536,2015 Q3,AAON INC,AAON,Final Revenue,US Dollar,"94,360,000"
544,2015 Q4,AAON INC,AAON,Final Revenue,US Dollar,"97,229,000"
553,2016 Q1,AAON INC,AAON,Final Revenue,US Dollar,"85,422,000"
561,2016 Q2,AAON INC,AAON,Final Revenue,US Dollar,"102,319,000"
569,2016 Q3,AAON INC,AAON,Final Revenue,US Dollar,"104,568,000"
577,2016 Q4,AAON INC,AAON,Final Revenue,US Dollar,"91,668,000"
585,2014 Q1,ABAXIS INC,ABAX,Final Revenue,US Dollar,"39,216,000"
595,2014 Q2,ABAXIS INC,ABAX,Final Revenue,US Dollar,"44,054,000"
604,2014 Q3,ABAXIS INC,ABAX,Final Revenue,US Dollar,"50,471,000"
613,2014 Q4,ABAXIS INC,ABAX,Final Revenue,US Dollar,"56,051,000"
622,2015 Q1,ABAXIS INC,ABAX,Final Revenue,US Dollar,"52,017,000"
632,2015 Q2,ABAXIS INC,ABAX,Final Revenue,US Dollar,"53,090,000"
641,2015 Q3,ABAXIS INC,ABAX,Final Revenue,US Dollar,"55,975,000"
650,2015 Q4,ABAXIS INC,ABAX,Final Revenue,US Dollar,"52,876,000"
659,2016 Q1,ABAXIS INC,ABAX,Final Revenue,US Dollar,"56,960,000"
669,2016 Q2,ABAXIS INC,ABAX,Final Revenue,US Dollar,"57,696,000"
678,2016 Q3,ABAXIS INC,ABAX,Final Revenue,US Dollar,"58,552,000"
687,2016 Q4,ABAXIS INC,ABAX,Final Revenue,US Dollar,"52,772,000"
697,2014 Q1,ABEONA THERAPEUTICS INC.,"ABEO, ABEOW",Final Revenue,US Dollar,"208,000"
704,2014 Q2,ABEONA THERAPEUTICS INC.,"ABEO, ABEOW",Final Revenue,US Dollar,"247,000"
711,2014 Q3,ABEONA THERAPEUTICS INC.,"ABEO, ABEOW",Final Revenue,US Dollar,"236,000"
718,2014 Q4,ABEONA THERAPEUTICS INC.,"ABEO, ABEOW",Final Revenue,US Dollar,"234,000"
726,2015 Q1,ABEONA THERAPEUTICS INC.,"ABEO, ABEOW",Final Revenue,US Dollar,"258,000"
732,2015 Q2,ABEONA THERAPEUTICS INC.,"ABEO, ABEOW",Final Revenue,US Dollar,"282,000"
738,2015 Q3,ABEONA THERAPEUTICS INC.,"ABEO, ABEOW",Final Revenue,US Dollar,"285,000"
745,2015 Q4,ABEONA THERAPEUTICS INC.,"ABEO, ABEOW",Final Revenue,US Dollar,"215,000"
753,2016 Q1,ABEONA THERAPEUTICS INC.,"ABEO, ABEOW",Final Revenue,US Dollar,"235,000"
760,2016 Q2,ABEONA THERAPEUTICS INC.,"ABEO, ABEOW",Final Revenue,US Dollar,"214,000"
767,2016 Q3,ABEONA THERAPEUTICS INC.,"ABEO, ABEOW",Final Revenue,US Dollar,"184,000"
774,2016 Q4,ABEONA THERAPEUTICS INC.,"ABEO, ABEOW",Final Revenue,US Dollar,"256,000"
781,2014 Q1,ABIOMED INC,ABMD,Final Revenue,US Dollar,"50,433,000"
790,2014 Q2,ABIOMED INC,ABMD,Final Revenue,US Dollar,"48,811,000"
798,2014 Q3,ABIOMED INC,ABMD,Final Revenue,US Dollar,"51,938,000"
806,2014 Q4,ABIOMED INC,ABMD,Final Revenue,US Dollar,"62,005,000"
814,2015 Q1,ABIOMED INC,ABMD,Final Revenue,US Dollar,"67,557,000"
823,2015 Q2,ABIOMED INC,ABMD,Final Revenue,US Dollar,"73,432,000"
831,2015 Q3,ABIOMED INC,ABMD,Final Revenue,US Dollar,"76,359,000"
838,2015 Q4,ABIOMED INC,ABMD,Final Revenue,US Dollar,"85,795,000"
845,2016 Q1,ABIOMED INC,ABMD,Final Revenue,US Dollar,"93,957,000"
853,2016 Q2,ABIOMED INC,ABMD,Final Revenue,US Dollar,"102,995,000"
860,2016 Q3,ABIOMED INC,ABMD,Final Revenue,US Dollar,"102,955,000"
867,2016 Q4,ABIOMED INC,ABMD,Final Revenue,US Dollar,"114,674,000"
875,2014 Q1,ABRAXAS PETROLEUM CORP,AXAS,Final Revenue,US Dollar,"18,661,000"
882,2014 Q2,ABRAXAS PETROLEUM CORP,AXAS,Final Revenue,US Dollar,"18,944,000"
889,2014 Q3,ABRAXAS PETROLEUM CORP,AXAS,Final Revenue,US Dollar,"16,077,000"
896,2014 Q4,ABRAXAS PETROLEUM CORP,AXAS,Final Revenue,US Dollar,"31,192,000"
904,2015 Q1,ABRAXAS PETROLEUM CORP,AXAS,Final Revenue,US Dollar,"9,564,000"
911,2015 Q2,ABRAXAS PETROLEUM CORP,AXAS,Final Revenue,US Dollar,"11,008,000"
918,2015 Q3,ABRAXAS PETROLEUM CORP,AXAS,Final Revenue,US Dollar,"13,976,000"
925,2015 Q4,ABRAXAS PETROLEUM CORP,AXAS,Final Revenue,US Dollar,"13,348,000"
933,2016 Q1,ABRAXAS PETROLEUM CORP,AXAS,Final Revenue,US Dollar,"9,564,000"
940,2016 Q2,ABRAXAS PETROLEUM CORP,AXAS,Final Revenue,US Dollar,"11,008,000"
947,2016 Q3,ABRAXAS PETROLEUM CORP,AXAS,Final Revenue,US Dollar,"13,976,000"
954,2016 Q4,ABRAXAS PETROLEUM CORP,AXAS,Final Revenue,US Dollar,"22,007,000"
961,2015 Q1,"Acacia Communications, Inc.",ACIA,Final Revenue,US Dollar,"47,244,000"
967,2015 Q2,"Acacia Communications, Inc.",ACIA,Final Revenue,US Dollar,"57,846,000"
974,2015 Q3,"Acacia Communications, Inc.",ACIA,Final Revenue,US Dollar,"65,419,000"
982,2015 Q4,"Acacia Communications, Inc.",ACIA,Final Revenue,US Dollar,"68,547,000"
991,2016 Q1,"Acacia Communications, Inc.",ACIA,Final Revenue,US Dollar,"84,489,000"
999,2016 Q2,"Acacia Communications, Inc.",ACIA,Final Revenue,US Dollar,"116,192,000"
1008,2016 Q3,"Acacia Communications, Inc.",ACIA,Final Revenue,US Dollar,"135,304,000"
1017,2016 Q4,"Acacia Communications, Inc.",ACIA,Final Revenue,US Dollar,"142,427,000"
1027,2014 Q1,ACACIA RESEARCH CORP,ACTG,Final Revenue,US Dollar,"12,578,000"
1034,2014 Q2,ACACIA RESEARCH CORP,ACTG,Final Revenue,US Dollar,"50,076,000"
1041,2014 Q3,ACACIA RESEARCH CORP,ACTG,Final Revenue,US Dollar,"37,192,000"
1048,2014 Q4,ACACIA RESEARCH CORP,ACTG,Final Revenue,US Dollar,"31,030,000"
1056,2015 Q1,ACACIA RESEARCH CORP,ACTG,Final Revenue,US Dollar,"34,210,000"
1063,2015 Q2,ACACIA RESEARCH CORP,ACTG,Final Revenue,US Dollar,"40,336,000"
1070,2015 Q3,ACACIA RESEARCH CORP,ACTG,Final Revenue,US Dollar,"12,994,000"
1077,2015 Q4,ACACIA RESEARCH CORP,ACTG,Final Revenue,US Dollar,"37,497,000"
1085,2016 Q1,ACACIA RESEARCH CORP,ACTG,Final Revenue,US Dollar,"24,721,000"
1092,2016 Q2,ACACIA RESEARCH CORP,ACTG,Final Revenue,US Dollar,"41,351,000"
1099,2016 Q3,ACACIA RESEARCH CORP,ACTG,Final Revenue,US Dollar,"64,658,000"
1106,2016 Q4,ACACIA RESEARCH CORP,ACTG,Final Revenue,US Dollar,"21,969,000"
1114,2014 Q1,"Acadia Healthcare Company, Inc.",ACHC,Final Revenue,US Dollar,"201,418,000"
1121,2014 Q2,"Acadia Healthcare Company, Inc.",ACHC,Final Revenue,US Dollar,"213,803,000"
1128,2014 Q3,"Acadia Healthcare Company, Inc.",ACHC,Final Revenue,US Dollar,"294,479,000"
1136,2014 Q4,"Acadia Healthcare Company, Inc.",ACHC,Final Revenue,US Dollar,"294,901,000"
1144,2015 Q1,"Acadia Healthcare Company, Inc.",ACHC,Final Revenue,US Dollar,"365,783,000"
1152,2015 Q2,"Acadia Healthcare Company, Inc.",ACHC,Final Revenue,US Dollar,"453,660,000"
1159,2015 Q3,"Acadia Healthcare Company, Inc.",ACHC,Final Revenue,US Dollar,"479,730,000"
1167,2015 Q4,"Acadia Healthcare Company, Inc.",ACHC,Final Revenue,US Dollar,"495,319,000"
1175,2016 Q1,"Acadia Healthcare Company, Inc.",ACHC,Final Revenue,US Dollar,"627,183,000"
1183,2016 Q2,"Acadia Healthcare Company, Inc.",ACHC,Final Revenue,US Dollar,"767,054,000"
1190,2016 Q3,"Acadia Healthcare Company, Inc.",ACHC,Final Revenue,US Dollar,"734,665,000"
1197,2016 Q4,"Acadia Healthcare Company, Inc.",ACHC,Final Revenue,US Dollar,"702,888,000"
1205,2014 Q1,ACADIA PHARMACEUTICALS INC,ACAD,Final Revenue,US Dollar,"30,000"
1212,2014 Q2,ACADIA PHARMACEUTICALS INC,ACAD,Final Revenue,US Dollar,"28,000"
1219,2014 Q3,ACADIA PHARMACEUTICALS INC,ACAD,Final Revenue,US Dollar,"15,000"
1226,2014 Q4,ACADIA PHARMACEUTICALS INC,ACAD,Final Revenue,US Dollar,"47,000"
1234,2015 Q1,ACADIA PHARMACEUTICALS INC,ACAD,Final Revenue,US Dollar,"4,000"
1241,2015 Q2,ACADIA PHARMACEUTICALS INC,ACAD,Final Revenue,US Dollar,"1,000"
1248,2015 Q3,ACADIA PHARMACEUTICALS INC,ACAD,Final Revenue,US Dollar,"39,000"
1255,2015 Q4,ACADIA PHARMACEUTICALS INC,ACAD,Final Revenue,US Dollar,"17,000"
1263,2016 Q1,ACADIA PHARMACEUTICALS INC,ACAD,Final Revenue,US Dollar,"4,000"
1270,2016 Q2,ACADIA PHARMACEUTICALS INC,ACAD,Final Revenue,US Dollar,"97,000"
1279,2016 Q3,ACADIA PHARMACEUTICALS INC,ACAD,Final Revenue,US Dollar,"5,268,000"
1288,2016 Q4,ACADIA PHARMACEUTICALS INC,ACAD,Final Revenue,US Dollar,"11,962,000"
1298,2014 Q1,"Accelerate Diagnostics, Inc",AXDX,Final Revenue,US Dollar,"14,000"
1306,2014 Q2,"Accelerate Diagnostics, Inc",AXDX,Final Revenue,US Dollar,"13,000"
1314,2014 Q3,"Accelerate Diagnostics, Inc",AXDX,Final Revenue,US Dollar,"16,000"
1322,2014 Q4,"Accelerate Diagnostics, Inc",AXDX,Final Revenue,US Dollar,"79,000"
1331,2015 Q1,"Accelerate Diagnostics, Inc",AXDX,Final Revenue,US Dollar,"14,000"
1338,2015 Q2,"Accelerate Diagnostics, Inc",AXDX,Final Revenue,US Dollar,"19,000"
1345,2015 Q3,"Accelerate Diagnostics, Inc",AXDX,Final Revenue,US Dollar,"92,000"
1352,2015 Q4,"Accelerate Diagnostics, Inc",AXDX,Final Revenue,US Dollar,"22,000"
1360,2016 Q1,"Accelerate Diagnostics, Inc",AXDX,Final Revenue,US Dollar,"163,000"
1369,2016 Q2,"Accelerate Diagnostics, Inc",AXDX,Final Revenue,US Dollar,"20,000"
1376,2016 Q3,"Accelerate Diagnostics, Inc",AXDX,Final Revenue,US Dollar,"24,000"
1383,2016 Q4,"Accelerate Diagnostics, Inc",AXDX,Final Revenue,US Dollar,"39,000"
1391,2014 Q1,ACCELERON PHARMA INC,XLRN,Final Revenue,US Dollar,"3,307,000"
1398,2014 Q2,ACCELERON PHARMA INC,XLRN,Final Revenue,US Dollar,"4,078,000"
1405,2014 Q3,ACCELERON PHARMA INC,XLRN,Final Revenue,US Dollar,"3,508,000"
1412,2014 Q4,ACCELERON PHARMA INC,XLRN,Final Revenue,US Dollar,"3,739,000"
1420,2015 Q1,ACCELERON PHARMA INC,XLRN,Final Revenue,US Dollar,"4,420,000"
1427,2015 Q2,ACCELERON PHARMA INC,XLRN,Final Revenue,US Dollar,"5,717,000"
1434,2015 Q3,ACCELERON PHARMA INC,XLRN,Final Revenue,US Dollar,"4,155,000"
1441,2015 Q4,ACCELERON PHARMA INC,XLRN,Final Revenue,US Dollar,"3,804,000"
1449,2016 Q1,ACCELERON PHARMA INC,XLRN,Final Revenue,US Dollar,"18,201,000"
1456,2016 Q2,ACCELERON PHARMA INC,XLRN,Final Revenue,US Dollar,"3,195,000"
1463,2016 Q3,ACCELERON PHARMA INC,XLRN,Final Revenue,US Dollar,"3,005,000"
1470,2016 Q4,ACCELERON PHARMA INC,XLRN,Final Revenue,US Dollar,"3,369,000"
1478,2014 Q1,ACCESS NATIONAL CORP,ANCX,Final Revenue,US Dollar,"12,201,000"
1485,2014 Q2,ACCESS NATIONAL CORP,ANCX,Final Revenue,US Dollar,"14,818,000"
1492,2014 Q3,ACCESS NATIONAL CORP,ANCX,Final Revenue,US Dollar,"15,128,000"
1499,2014 Q4,ACCESS NATIONAL CORP,ANCX,Final Revenue,US Dollar,"15,654,000"
1507,2015 Q1,ACCESS NATIONAL CORP,ANCX,Final Revenue,US Dollar,"16,581,000"
1514,2015 Q2,ACCESS NATIONAL CORP,ANCX,Final Revenue,US Dollar,"17,868,000"
1521,2015 Q3,ACCESS NATIONAL CORP,ANCX,Final Revenue,US Dollar,"17,568,000"
1528,2015 Q4,ACCESS NATIONAL CORP,ANCX,Final Revenue,US Dollar,"17,714,000"
1536,2016 Q1,ACCESS NATIONAL CORP,ANCX,Final Revenue,US Dollar,"18,800,000"
1544,2016 Q2,ACCESS NATIONAL CORP,ANCX,Final Revenue,US Dollar,"21,509,000"
1551,2016 Q3,ACCESS NATIONAL CORP,ANCX,Final Revenue,US Dollar,"21,463,000"
1558,2016 Q4,ACCESS NATIONAL CORP,ANCX,Final Revenue,US Dollar,"20,046,000"
1566,2014 Q1,ACELRX PHARMACEUTICALS INC,ACRX,Final Revenue,US Dollar,"95,000"
1572,2014 Q2,ACELRX PHARMACEUTICALS INC,ACRX,Final Revenue,US Dollar,"71,000"
1578,2014 Q3,ACELRX PHARMACEUTICALS INC,ACRX,Final Revenue,US Dollar,"4,825,000"
1586,2014 Q4,ACELRX PHARMACEUTICALS INC,ACRX,Final Revenue,US Dollar,"226,000"
1593,2015 Q1,ACELRX PHARMACEUTICALS INC,ACRX,Final Revenue,US Dollar,"181,000"
1601,2015 Q2,ACELRX PHARMACEUTICALS INC,ACRX,Final Revenue,US Dollar,"1,924,000"
1609,2015 Q3,ACELRX PHARMACEUTICALS INC,ACRX,Final Revenue,US Dollar,"15,428,000"
1617,2015 Q4,ACELRX PHARMACEUTICALS INC,ACRX,Final Revenue,US Dollar,"1,730,000"
1626,2016 Q1,ACELRX PHARMACEUTICALS INC,ACRX,Final Revenue,US Dollar,"3,025,000"
1634,2016 Q2,ACELRX PHARMACEUTICALS INC,ACRX,Final Revenue,US Dollar,"4,531,000"
1642,2016 Q3,ACELRX PHARMACEUTICALS INC,ACRX,Final Revenue,US Dollar,"3,366,000"
1650,2016 Q4,ACELRX PHARMACEUTICALS INC,ACRX,Final Revenue,US Dollar,"6,435,000"
1658,2014 Q1,ACETO CORP,ACET,Final Revenue,US Dollar,"124,830,000"
1667,2014 Q2,ACETO CORP,ACET,Final Revenue,US Dollar,"139,580,000"
1677,2014 Q3,ACETO CORP,ACET,Final Revenue,US Dollar,"130,803,000"
1686,2014 Q4,ACETO CORP,ACET,Final Revenue,US Dollar,"123,765,000"
1695,2015 Q1,ACETO CORP,ACET,Final Revenue,US Dollar,"145,796,000"
1704,2015 Q2,ACETO CORP,ACET,Final Revenue,US Dollar,"146,587,000"
1714,2015 Q3,ACETO CORP,ACET,Final Revenue,US Dollar,"133,500,000"
1723,2015 Q4,ACETO CORP,ACET,Final Revenue,US Dollar,"131,674,000"
1732,2016 Q1,ACETO CORP,ACET,Final Revenue,US Dollar,"157,926,000"
1741,2016 Q2,ACETO CORP,ACET,Final Revenue,US Dollar,"135,424,000"
1751,2016 Q3,ACETO CORP,ACET,Final Revenue,US Dollar,"128,018,000"
1760,2016 Q4,ACETO CORP,ACET,Final Revenue,US Dollar,"125,552,000"
1770,2014 Q1,Achaogen Inc,AKAO,Final Revenue,US Dollar,"5,988,000"
1777,2014 Q2,Achaogen Inc,AKAO,Final Revenue,US Dollar,"5,203,000"
1784,2014 Q3,Achaogen Inc,AKAO,Final Revenue,US Dollar,"4,520,000"
1791,2014 Q4,Achaogen Inc,AKAO,Final Revenue,US Dollar,"4,259,000"
1799,2015 Q1,Achaogen Inc,AKAO,Final Revenue,US Dollar,"4,880,000"
1806,2015 Q2,Achaogen Inc,AKAO,Final Revenue,US Dollar,"12,041,000"
1813,2015 Q3,Achaogen Inc,AKAO,Final Revenue,US Dollar,"4,476,000"
1820,2015 Q4,Achaogen Inc,AKAO,Final Revenue,US Dollar,"4,664,000"
1828,2016 Q1,Achaogen Inc,AKAO,Final Revenue,US Dollar,"5,849,000"
1835,2016 Q2,Achaogen Inc,AKAO,Final Revenue,US Dollar,"9,144,000"
1842,2016 Q3,Achaogen Inc,AKAO,Final Revenue,US Dollar,"16,046,000"
1849,2016 Q4,Achaogen Inc,AKAO,Final Revenue,US Dollar,"10,734,000"
1857,2014 Q1,ACHILLION PHARMACEUTICALS INC,ACHN,Final Revenue,US Dollar,0
1864,2014 Q2,ACHILLION PHARMACEUTICALS INC,ACHN,Final Revenue,US Dollar,0
1871,2014 Q3,ACHILLION PHARMACEUTICALS INC,ACHN,Final Revenue,US Dollar,0
1878,2014 Q4,ACHILLION PHARMACEUTICALS INC,ACHN,Final Revenue,US Dollar,0
1886,2015 Q1,ACHILLION PHARMACEUTICALS INC,ACHN,Final Revenue,US Dollar,0
1893,2015 Q2,ACHILLION PHARMACEUTICALS INC,ACHN,Final Revenue,US Dollar,"711,000"
1900,2015 Q3,ACHILLION PHARMACEUTICALS INC,ACHN,Final Revenue,US Dollar,"33,820,000"
1907,2015 Q4,ACHILLION PHARMACEUTICALS INC,ACHN,Final Revenue,US Dollar,"31,591,000"
1915,2016 Q1,ACHILLION PHARMACEUTICALS INC,ACHN,Final Revenue,US Dollar,0
1934,2016 Q4,ACHILLION PHARMACEUTICALS INC,ACHN,Final Revenue,US Dollar,"15,000,000"
1942,2014 Q1,"ACI WORLDWIDE, INC.",ACIW,Final Revenue,US Dollar,"221,473,000"
1949,2014 Q2,"ACI WORLDWIDE, INC.",ACIW,Final Revenue,US Dollar,"254,808,000"
1956,2014 Q3,"ACI WORLDWIDE, INC.",ACIW,Final Revenue,US Dollar,"249,644,000"
1963,2014 Q4,"ACI WORLDWIDE, INC.",ACIW,Final Revenue,US Dollar,"290,224,000"
1971,2015 Q1,"ACI WORLDWIDE, INC.",ACIW,Final Revenue,US Dollar,"232,817,000"
1978,2015 Q2,"ACI WORLDWIDE, INC.",ACIW,Final Revenue,US Dollar,"265,822,000"
1985,2015 Q3,"ACI WORLDWIDE, INC.",ACIW,Final Revenue,US Dollar,"238,701,000"
1992,2015 Q4,"ACI WORLDWIDE, INC.",ACIW,Final Revenue,US Dollar,"308,637,000"
2000,2016 Q1,"ACI WORLDWIDE, INC.",ACIW,Final Revenue,US Dollar,"226,066,000"
2007,2016 Q2,"ACI WORLDWIDE, INC.",ACIW,Final Revenue,US Dollar,"219,930,000"
2014,2016 Q3,"ACI WORLDWIDE, INC.",ACIW,Final Revenue,US Dollar,"216,975,000"
2021,2016 Q4,"ACI WORLDWIDE, INC.",ACIW,Final Revenue,US Dollar,"342,730,000"
2146,2014 Q1,ACORDA THERAPEUTICS INC,ACOR,Final Revenue,US Dollar,"80,518,000"
2155,2014 Q2,ACORDA THERAPEUTICS INC,ACOR,Final Revenue,US Dollar,"97,129,000"
2164,2014 Q3,ACORDA THERAPEUTICS INC,ACOR,Final Revenue,US Dollar,"105,961,000"
2173,2014 Q4,ACORDA THERAPEUTICS INC,ACOR,Final Revenue,US Dollar,"117,872,000"
2182,2015 Q1,ACORDA THERAPEUTICS INC,ACOR,Final Revenue,US Dollar,"99,851,000"
2191,2015 Q2,ACORDA THERAPEUTICS INC,ACOR,Final Revenue,US Dollar,"113,707,000"
2200,2015 Q3,ACORDA THERAPEUTICS INC,ACOR,Final Revenue,US Dollar,"148,199,000"
2209,2015 Q4,ACORDA THERAPEUTICS INC,ACOR,Final Revenue,US Dollar,"130,903,000"
2219,2016 Q1,ACORDA THERAPEUTICS INC,ACOR,Final Revenue,US Dollar,"115,904,000"
2228,2016 Q2,ACORDA THERAPEUTICS INC,ACOR,Final Revenue,US Dollar,"127,458,000"
2237,2016 Q3,ACORDA THERAPEUTICS INC,ACOR,Final Revenue,US Dollar,"135,613,000"
2246,2016 Q4,ACORDA THERAPEUTICS INC,ACOR,Final Revenue,US Dollar,"140,626,000"
2255,2014 Q1,"Activision Blizzard, Inc.",ATVI,Final Revenue,US Dollar,"1,111,000,000"
2263,2014 Q2,"Activision Blizzard, Inc.",ATVI,Final Revenue,US Dollar,"970,000,000"
2271,2014 Q3,"Activision Blizzard, Inc.",ATVI,Final Revenue,US Dollar,"753,000,000"
2279,2014 Q4,"Activision Blizzard, Inc.",ATVI,Final Revenue,US Dollar,"1,575,000,000"
2288,2015 Q1,"Activision Blizzard, Inc.",ATVI,Final Revenue,US Dollar,"1,278,000,000"
2296,2015 Q2,"Activision Blizzard, Inc.",ATVI,Final Revenue,US Dollar,"1,044,000,000"
2304,2015 Q3,"Activision Blizzard, Inc.",ATVI,Final Revenue,US Dollar,"990,000,000"
2312,2015 Q4,"Activision Blizzard, Inc.",ATVI,Final Revenue,US Dollar,"1,353,000,000"
2321,2016 Q1,"Activision Blizzard, Inc.",ATVI,Final Revenue,US Dollar,"1,455,000,000"
2329,2016 Q2,"Activision Blizzard, Inc.",ATVI,Final Revenue,US Dollar,"1,570,000,000"
2337,2016 Q3,"Activision Blizzard, Inc.",ATVI,Final Revenue,US Dollar,"1,568,000,000"
2345,2016 Q4,"Activision Blizzard, Inc.",ATVI,Final Revenue,US Dollar,"2,014,000,000"
2354,2014 Q1,Actua Corp,"ACTA, ICGE",Final Revenue,US Dollar,"18,422,000"
2361,2014 Q2,Actua Corp,"ACTA, ICGE",Final Revenue,US Dollar,"19,029,000"
2369,2014 Q3,Actua Corp,"ACTA, ICGE",Final Revenue,US Dollar,"20,762,000"
